partner_id,partner_name,partner_code,institution_type,state,district,matched_entity_id,matched_entity_name,match_level,confidence,match_reason
6b8dc71e-28b2-47a6-8b9e-02a4c3bc94d7,Punjab & Sind Bank,PSB-7C010301,PUBLIC_SECTOR_BANK,,,f040c1c2-c06d-4cab-afd6-92f60c289375,Punjab & Sind Bank,MATCH_LEVEL_2,0.98,"Exact canonical legal name match: Punjab & Sind Bank (Branch: 5th Floor, 21 Rajendra Place, New Delhi)"
3414ceb1-e997-485e-843a-4d15ec6215f5,Indian Bank Corporate Office,PSB-939BC20A,PUBLIC_SECTOR_BANK,,,373beea7-12f9-4000-8831-dc92fcdb9b58,Indian Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Indian Bank (Type: PUBLIC_SECTOR_BANK, State: None)"
38a644ee-3ee3-41dd-b8d9-710f4924635e,Bank of Maharashtra No.254-260,PSB-FC9FA12B,PUBLIC_SECTOR_BANK,,,239975e2-2830-4a09-b2cc-b8253bc03590,Bank of Maharashtra,MATCH_LEVEL_3,0.92,"Normalized name match with Bank of Maharashtra (Type: PUBLIC_SECTOR_BANK, State: None)"
38554178-24fd-4b53-bc84-a1e24d50b093,Bank of India,PSB-DF3C7EF2,PUBLIC_SECTOR_BANK,,,b4d52ae5-0b16-4d39-b35e-d826dd598073,Bank of India,MATCH_LEVEL_2,0.98,Exact canonical name match: Bank of India
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,PSB-FEB8D111,PUBLIC_SECTOR_BANK,,,f21de982-9af4-4be8-b149-9482425ea313,Central Bank of India,MATCH_LEVEL_2,0.98,Exact canonical name match: Central Bank of India
12401b23-5a1c-4bd3-b854-07ca88dab8bb,Mumbai – 400 021,PSB-50D7ABA5,PUBLIC_SECTOR_BANK,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Mumbai – 400 021'
9e0c0f81-a704-4a8c-9767-984568b82f9a,UCO Bank,PSB-0D50BA8F,PUBLIC_SECTOR_BANK,,,b995ce89-9915-4a8c-94fb-854e23ad9a1d,UCO Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: UCO Bank
176c9127-6440-40f2-9461-57d84448e38f,Bihar Gramin Bank,RRB-F42861B7,REGIONAL_RURAL_BANK,,,f196f512-b814-4ae0-acac-446280d6d0df,Bihar Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Bihar Gramin Bank
1e7f37a7-69fd-4606-8525-59838b47c79f,Maharashtra Gramin Bank,RRB-024F5857,REGIONAL_RURAL_BANK,,,c180b76f-90ec-4022-8ce0-ba84b5deccc0,Maharashtra Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Maharashtra Gramin Bank
e5ac60bc-a632-4eee-8aba-855547cd0822,Jharkhand Gramin Bank,RRB-C5F4B14E,REGIONAL_RURAL_BANK,,,d3310acf-77a7-4f8d-bc53-16b837ae4cac,Jharkhand Rajya Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'Jharkhand Gramin Bank' -> Jharkhand Rajya Gramin Bank (Source: GOVERNMENT_DIRECTORY)
cc8d994c-c55f-4332-913b-d5f6572be3be,Haryana Gramin Bank,RRB-CCC60043,REGIONAL_RURAL_BANK,Haryana,,80c64064-36b5-4e40-84ba-437c2276db47,Sarva Haryana Gramin Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Sarva Haryana Gramin Bank (Type: REGIONAL_RURAL_BANK, State: Haryana)"
b42dba38-40a8-4665-8f50-eb44a8c91961,Ranchi- 834001,RRB-DD9391F5,REGIONAL_RURAL_BANK,,,,,UNMATCHED,0.0,No verified statutory entity could be matched with confidence >= 0.70 for 'Ranchi- 834001'
f47cb8f9-21b8-4d27-8491-1e24df1d7532,Gujarat Gramin Bank,RRB-979A2C47,REGIONAL_RURAL_BANK,Gujarat,,8d2afc9e-2265-4956-b31a-959d633c162e,Baroda Gujarat Gramin Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Baroda Gujarat Gramin Bank (Type: REGIONAL_RURAL_BANK, State: Gujarat)"
4aad9936-f656-41f2-8a4b-026dea48ac44,Telangana Grameena Bank,RRB-8C04F018,REGIONAL_RURAL_BANK,,,47f6da07-1d79-4428-ac05-47ee2191f8d4,Telangana Grameena Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Telangana Grameena Bank
84279d00-97a4-4cba-b189-687bfb6848e6,Rajasthan Gramin Bank,RRB-012E2089,REGIONAL_RURAL_BANK,,,27a59254-0abd-453f-a6db-da623df755d3,Rajasthan Marudhara Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'Rajasthan Gramin Bank' -> Rajasthan Marudhara Gramin Bank (Source: GOVERNMENT_DIRECTORY)
