partner_id,partner_name,institution_type,matched_entity,match_level,confidence,reason,financial_data_attached
176c9127-6440-40f2-9461-57d84448e38f,Bihar Gramin Bank,REGIONAL_RURAL_BANK,Bihar Gramin Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Bihar Gramin Bank,True
6f90ae66-6b82-49eb-841f-673d8d6b16f5,Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC),STATE_CHANNELIZING_AGENCY,Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC),MATCH_LEVEL_2,0.98,Exact canonical name match: Bihar State SCs Co-operative Development Corporation Ltd (BSSCCDC),True
2790fa95-688e-400f-a3d4-58f7a2225bee,Canara Bank,PUBLIC_SECTOR_BANK,Canara Bank,MATCH_LEVEL_2,0.98,Exact canonical name match: Canara Bank,True
6e673f7e-34db-4c33-9d25-1acc9131293e,Canara Bank Head Office Bengaluru,PSB,Canara Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Canara Bank (Type: PUBLIC_SECTOR_BANK, State: Karnataka)",True
PARTNER-GKP-CNRB-01,Canara Bank MSME Sulabh Branch Gorakhpur,PUBLIC_SECTOR_BANK,Canara Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Canara Bank (Type: PUBLIC_SECTOR_BANK, State: Uttar Pradesh)",True
d77b6201-e16c-48d4-8314-e34c700ebefa,Central Bank of India Corporate Office Mumbai,PSB,Central Bank of India,MATCH_LEVEL_3,0.92,"Normalized name match with Central Bank of India (Type: PUBLIC_SECTOR_BANK, State: Maharashtra)",True
PARTNER-GKP-CBI-01,Central Bank of India Main Branch Gorakhpur,PUBLIC_SECTOR_BANK,Central Bank of India,MATCH_LEVEL_3,0.92,"Normalized name match with Central Bank of India (Type: PUBLIC_SECTOR_BANK, State: Uttar Pradesh)",True
685d60bd-a6f8-49c2-8809-17a261eea094,Central bank Of India,PUBLIC_SECTOR_BANK,Central Bank of India,MATCH_LEVEL_2,0.98,Exact canonical name match: Central Bank of India,True
073c0a06-889f-4693-9213-751c6cdf7d38,"Chandigarh SCs, BCs & Minorities Financial & Development Corporation Ltd (CSCFDC)",STATE_CHANNELIZING_AGENCY,"Chandigarh SCs, BCs & Minorities Financial & Development Corporation Ltd (CSCFDC)",MATCH_LEVEL_2,0.98,"Exact canonical name match: Chandigarh SCs, BCs & Minorities Financial & Development Corporation Ltd (CSCFDC)",True
f662769c-9303-4a48-95df-8c3605a2b891,Chhattisgarh Gramin Bank,REGIONAL_RURAL_BANK,Chhattisgarh Rajya Gramin Bank,MATCH_LEVEL_4,0.88,Official alias match 'Chhattisgarh Gramin Bank' -> Chhattisgarh Rajya Gramin Bank (Source: GOVERNMENT_DIRECTORY),True
20ff119a-fcb6-407d-9c86-25e2670438d1,Chhattisgarh Rajya Antyavasayee Sahakari Vitta Evam Vikas Nigam,STATE_CHANNELIZING_AGENCY,NONE,UNMATCHED,0.00,No verified statutory entity could be matched with confidence >= 0.70 for 'Chhattisgarh Rajya Antyavasayee Sahakari Vitta Evam Vikas Nigam',False
9381f6c7-d2d8-435e-a320-731879b5590e,Complex,REGIONAL_RURAL_BANK,NONE,UNMATCHED,0.00,No verified statutory entity could be matched with confidence >= 0.70 for 'Complex',False
ac20c956-fb25-43bc-8f1d-44decf194c8d,Dadra & Nagar Haveli SC/ST/OBC Financial & Development Corporation,STATE_CHANNELIZING_AGENCY,NONE,UNMATCHED,0.00,No verified statutory entity could be matched with confidence >= 0.70 for 'Dadra & Nagar Haveli SC/ST/OBC Financial & Development Corporation',False
69c7275b-c894-41ac-af47-4dbb04a483e3,Dakshin Bihar Gramin Bank Head Office Patna,RRB,Dakshin Bihar Gramin Bank,MATCH_LEVEL_3,0.92,"Normalized name match with Dakshin Bihar Gramin Bank (Type: REGIONAL_RURAL_BANK, State: Bihar)",True
