partner_id,partner_name,institution_type,partner_category,source_url,source_type,verification_date,verified_fields,verification_status
98346956-4962-402c-b788-300f75c71dd2,Uttar Pradesh UP Sahkari Gram Vikas Bank 10,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,SCA,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
98a9bb95-383b-4ecb-9aed-a019de786fee,Karnataka Dr B. R. Ambedkar Development 9th & 10th Floor,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,SCA,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
9b05cbeb-1a9f-4f46-86d7-6ca2ff484d02,Vector Finance PVT LTD RO-K7/110,MICRO_FINANCE_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/channel-partners/attachments/20251223_101231_7smjJC.pdf,NBFC_MFI,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
9e0c0f81-a704-4a8c-9767-984568b82f9a,UCO Bank,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_100623_Bea3za.pdf,PSB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-001,National SC/ST Hub Channelizing Agency,,AUTHORIZED_SCHEME_PARTNER,,,,"name,institution_type,category,source_url,verification_status",PROTOTYPE
PARTNER-GKP-BOB-01,Bank of Baroda MSME Branch Gorakhpur,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://www.bankofbaroda.in/branch-locator,OFFICIAL_BANK_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-CBI-01,Central Bank of India Main Branch Gorakhpur,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://www.centralbankofindia.co.in/en/branch-locator,OFFICIAL_BANK_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-CNRB-01,Canara Bank MSME Sulabh Branch Gorakhpur,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://canarabank.com/branch-locator,OFFICIAL_BANK_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Gorakhpur,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-IB-01,Indian Bank Main Branch Gorakhpur,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://www.indianbank.in/branch-locator,OFFICIAL_BANK_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-KVIC-01,Khadi and Village Industries Commission (KVIC) Divisional Office Gorakhpur,COMMISSION_OFFICE,IMPLEMENTING_ASSISTANCE_CENTRE,https://www.kviconline.gov.in/pmegpeportal/dashboard/helpDeskNo.jsp,OFFICIAL_GOV_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-PNB-01,Punjab National Bank Circle Office & Branch Gorakhpur,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://www.pnbindia.in/branch-locator.aspx,OFFICIAL_BANK_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-RSETI-01,State Bank of India Rural Self Employment Training Institute (SBI RSETI) Gorakhpur,RSETI_TRAINING_INSTITUTE,IMPLEMENTING_ASSISTANCE_CENTRE,https://www.kviconline.gov.in/pmegpeportal/,OFFICIAL_GOV_DOCUMENT,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-UBI-01,Union Bank of India Regional Office & Branch Gorakhpur,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://www.unionbankofindia.co.in/english/branch-locator.aspx,OFFICIAL_BANK_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-GKP-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Gorakhpur,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://www.upscfdc.in/contacts,STATUTORY_CORPORATION_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-BST-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Basti,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-DEO-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Deoria,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-DEO-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Deoria,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://www.upscfdc.in/contacts,STATUTORY_CORPORATION_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-KNP-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Kanpur Nagar,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-KUS-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Kushinagar,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-LKO-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Lucknow,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-LKO-KVIC-01,Khadi and Village Industries Commission (KVIC) State Office Lucknow,COMMISSION_OFFICE,IMPLEMENTING_ASSISTANCE_CENTRE,https://www.kviconline.gov.in/,OFFICIAL_GOV_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-LKO-SIDBI-01,Small Industries Development Bank of India (SIDBI) Head Office,STATUTORY_FINANCIAL_CORPORATION,AUTHORIZED_SCHEME_PARTNER,https://www.sidbi.in/,STATUTORY_CORPORATION_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-LKO-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Head Office,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://www.upscfdc.in/,STATUTORY_CORPORATION_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-PRY-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Prayagraj,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-VNS-DIC-01,District Industries and Enterprise Promotion Centre (DIC) Varanasi,DISTRICT_INDUSTRIES_CENTRE,IMPLEMENTING_ASSISTANCE_CENTRE,https://msme.up.gov.in/,DISTRICT_ADMINISTRATION_PORTAL,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-VNS-UBI-01,Union Bank of India MSME Branch Varanasi,PUBLIC_SECTOR_BANK,AUTHORIZED_SCHEME_PARTNER,https://www.unionbankofindia.co.in/,OFFICIAL_BANK_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
PARTNER-UP-VNS-UPSCFDC-01,Uttar Pradesh Scheduled Caste Finance and Development Corporation (UPSCFDC) Varanasi,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://www.upscfdc.in/contacts,STATUTORY_CORPORATION_WEBSITE,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
aab58822-6a2a-4e27-a6c5-17db9d5d9bf1,Gujarat The Managing Director,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,STATE/UT-WISE LIST OF STATE CHANNELISING AGENCIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
ab2f472d-2b84-44ab-84ca-0b9dac3ca0ab,Punjab Gramin Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
ac20c956-fb25-43bc-8f1d-44decf194c8d,Dadra & Nagar Dadra & Nagar Haveli,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,STATE/UT-WISE LIST OF STATE CHANNELISING AGENCIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
afd49bd5-8539-4e70-9ce1-edffb55517a4,Andhra Pradesh Grameena Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,LIST OF REGIONAL RURAL BANKS,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
b074d6cf-82f0-40e8-be0b-a669ca419b33,Jharkhand Jharkhand Silk Textile & Handicraft Development Corporation Ltd.,FINANCIAL_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_101214_Yw5CGQ.pdf,OTHER_AGENCY,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
b42dba38-40a8-4665-8f50-eb44a8c91961,Ranchi- 834001,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
bb7c9f36-0a4c-4814-b3c1-0250b9366f85,Karnataka Grameena Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
be4c480d-2aea-4e4b-b48b-a06fb425c677,AU small finance bank,FINANCIAL_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/uploads/images/banners/20260408_100851_UrGTfH.pdf,SMALL_FINANCE_BANK,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
c30f1d8c-df01-4717-ae7f-a4727b503ff4,Streenidhi,FINANCIAL_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/channel-partners/attachments/20260408_101711_6Iyved.pdf,LIST OF COOPERATIVE SOCIETIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
cb7c564b-c5ef-4fff-a75c-bfbc7983c361,Gujarat Dr. Ambedkar Antyodaya Vikas Karmayogi Bhavan,STATE_CHANNELIZING_AGENCY,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_164458_Ip6UJm.pdf,STATE/UT-WISE LIST OF STATE CHANNELISING AGENCIES,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
cc8d994c-c55f-4332-913b-d5f6572be3be,Haryana Gramin Bank,REGIONAL_RURAL_BANK,AUTHORIZED_SCHEME_PARTNER,https://nsfdc.nic.in/storage/channel-partners/attachments/20260401_163145_9tiTZM.pdf,RRB,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
d269101c-5073-4fcd-b4cb-fa5f182989f7,ASA International Microfinance Ltd.,MICRO_FINANCE_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/channel-partners/attachments/20251223_101231_7smjJC.pdf,LIST OF NBFC-MFIs,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
d79ae139-660f-4f51-ad35-9a58282bffcb,Pahal Financial Services Pvt. Ltd.,MICRO_FINANCE_INSTITUTION,NEARBY_FINANCIAL_SERVICE_POINT,https://nsfdc.nic.in/storage/channel-partners/attachments/20251223_101231_7smjJC.pdf,LIST OF NBFC-MFIs,2026-09-01,"name,institution_type,category,source_url,verification_status",VERIFIED_OFFICIAL
